"","date"
"1","1989-06-01"
"2","1989-06-02"
"3","1989-06-03"
"4","1989-06-04"
"5","1989-06-05"
"6","1989-06-06"
"7","1989-06-07"
"8","1989-06-08"
"9","1989-06-09"
"10","1989-06-10"
"11","1989-06-11"
"12","1989-06-12"
"13","1989-06-13"
"14","1989-06-14"
"15","1989-06-15"
"16","1989-06-16"
"17","1989-06-17"
"18","1989-06-18"
"19","1989-06-19"
"20","1989-06-20"
"21","1989-06-21"
"22","1989-06-22"
"23","1989-06-23"
"24","1989-06-24"
"25","1989-06-25"
"26","1989-06-26"
"27","1989-06-27"
"28","1989-06-28"
"29","1989-06-29"
"30","1989-06-30"
"31","1989-07-01"
"32","1989-07-02"
"33","1989-07-03"
"34","1989-07-04"
"35","1989-07-05"
"36","1989-07-06"
"37","1989-07-07"
"38","1989-07-08"
"39","1989-07-09"
"40","1989-07-10"
"41","1989-07-11"
"42","1989-07-12"
"43","1989-07-13"
"44","1989-07-14"
"45","1989-07-15"
"46","1989-07-16"
"47","1989-07-17"
"48","1989-07-18"
"49","1989-07-19"
"50","1989-07-20"
"51","1989-07-21"
"52","1989-07-22"
"53","1989-07-23"
"54","1989-07-24"
"55","1989-07-25"
"56","1989-07-26"
"57","1989-07-27"
"58","1989-07-28"
"59","1989-07-29"
"60","1989-07-30"
"61","1989-07-31"
"62","1989-08-01"
"63","1989-08-02"
"64","1989-08-03"
"65","1989-08-04"
"66","1989-08-05"
"67","1989-08-06"
"68","1989-08-07"
"69","1989-08-08"
"70","1989-08-09"
"71","1989-08-10"
"72","1989-08-11"
"73","1989-08-12"
"74","1989-08-13"
"75","1989-08-14"
"76","1989-08-15"
"77","1989-08-16"
"78","1989-08-17"
"79","1989-08-18"
"80","1989-08-19"
"81","1989-08-20"
"82","1989-08-21"
"83","1989-08-22"
"84","1989-08-23"
"85","1989-08-24"
"86","1989-08-25"
"87","1989-08-26"
"88","1989-08-27"
"89","1989-08-28"
"90","1989-08-29"
"91","1989-08-30"
"92","1989-08-31"
"93","1989-09-01"
"94","1989-09-02"
"95","1989-09-03"
"96","1989-09-04"
"97","1989-09-05"
"98","1989-09-06"
"99","1989-09-07"
"100","1989-09-08"
"101","1989-09-09"
"102","1989-09-10"
"103","1989-09-11"
"104","1989-09-12"
"105","1989-09-13"
"106","1989-09-14"
"107","1989-09-15"
"108","1989-09-16"
"109","1989-09-17"
"110","1989-09-18"
"111","1989-09-19"
"112","1989-09-20"
"113","1989-09-21"
"114","1989-09-22"
"115","1989-09-23"
"116","1989-09-24"
"117","1989-09-25"
"118","1989-09-26"
"119","1989-09-27"
"120","1989-09-28"
"121","1989-09-29"
"122","1989-09-30"
"123","1989-10-01"
"124","1989-10-02"
"125","1989-10-03"
"126","1989-10-04"
"127","1989-10-05"
"128","1989-10-06"
"129","1989-10-07"
"130","1989-10-08"
"131","1989-10-09"
"132","1989-10-10"
"133","1989-10-11"
"134","1989-10-12"
"135","1989-10-13"
"136","1989-10-14"
"137","1989-10-15"
"138","1989-10-16"
"139","1989-10-17"
"140","1989-10-18"
"141","1989-10-19"
"142","1989-10-20"
"143","1989-10-21"
"144","1989-10-22"
"145","1989-10-23"
"146","1989-10-24"
"147","1989-10-25"
"148","1989-10-26"
"149","1989-10-27"
"150","1989-10-28"
"151","1989-10-29"
"152","1989-10-30"
"153","1989-10-31"
"154","1990-06-01"
"155","1990-06-02"
"156","1990-06-03"
"157","1990-06-04"
"158","1990-06-05"
"159","1990-06-06"
"160","1990-06-07"
"161","1990-06-08"
"162","1990-06-09"
"163","1990-06-10"
"164","1990-06-11"
"165","1990-06-12"
"166","1990-06-13"
"167","1990-06-14"
"168","1990-06-15"
"169","1990-06-16"
"170","1990-06-17"
"171","1990-06-18"
"172","1990-06-19"
"173","1990-06-20"
"174","1990-06-21"
"175","1990-06-22"
"176","1990-06-23"
"177","1990-06-24"
"178","1990-06-25"
"179","1990-06-26"
"180","1990-06-27"
"181","1990-06-28"
"182","1990-06-29"
"183","1990-06-30"
"184","1990-07-01"
"185","1990-07-02"
"186","1990-07-03"
"187","1990-07-04"
"188","1990-07-05"
"189","1990-07-06"
"190","1990-07-07"
"191","1990-07-08"
"192","1990-07-09"
"193","1990-07-10"
"194","1990-07-11"
"195","1990-07-12"
"196","1990-07-13"
"197","1990-07-14"
"198","1990-07-15"
"199","1990-07-16"
"200","1990-07-17"
"201","1990-07-18"
"202","1990-07-19"
"203","1990-07-20"
"204","1990-07-21"
"205","1990-07-22"
"206","1990-07-23"
"207","1990-07-24"
"208","1990-07-25"
"209","1990-07-26"
"210","1990-07-27"
"211","1990-07-28"
"212","1990-07-29"
"213","1990-07-30"
"214","1990-07-31"
"215","1990-08-01"
"216","1990-08-02"
"217","1990-08-03"
"218","1990-08-04"
"219","1990-08-05"
"220","1990-08-06"
"221","1990-08-07"
"222","1990-08-08"
"223","1990-08-09"
"224","1990-08-10"
"225","1990-08-11"
"226","1990-08-12"
"227","1990-08-13"
"228","1990-08-14"
"229","1990-08-15"
"230","1990-08-16"
"231","1990-08-17"
"232","1990-08-18"
"233","1990-08-19"
"234","1990-08-20"
"235","1990-08-21"
"236","1990-08-22"
"237","1990-08-23"
"238","1990-08-24"
"239","1990-08-25"
"240","1990-08-26"
"241","1990-08-27"
"242","1990-08-28"
"243","1990-08-29"
"244","1990-08-30"
"245","1990-08-31"
"246","1990-09-01"
"247","1990-09-02"
"248","1990-09-03"
"249","1990-09-04"
"250","1990-09-05"
"251","1990-09-06"
"252","1990-09-07"
"253","1990-09-08"
"254","1990-09-09"
"255","1990-09-10"
"256","1990-09-11"
"257","1990-09-12"
"258","1990-09-13"
"259","1990-09-14"
"260","1990-09-15"
"261","1990-09-16"
"262","1990-09-17"
